Node,Followers,Following,Posts,Brand,Follower
162,2069,916,264,0,1
163,2821,775,110,0,1
164,1263,301,19,0,1
165,930,252,223,0,1
166,2066,127,101,0,1
167,123,167,55,0,1
168,2839,311,17,0,1
169,1723,792,37,0,1
170,55,311,228,0,1
171,1221,903,282,0,1
172,2523,55,155,0,1
173,620,252,77,0,1
174,777,997,167,0,1
175,331,13,165,0,1
176,478,220,85,0,1
177,693,227,234,0,1
178,2416,763,170,0,1
179,1653,406,36,0,1
180,359,17,153,0,1
181,1257,821,288,0,1
182,867,523,80,0,1
183,65,893,17,0,1
184,1440,565,81,0,1
185,1044,497,186,0,1
186,1519,281,65,0,1
187,1010,531,242,0,1
188,755,563,172,0,1
189,1361,318,124,0,1
190,2141,509,261,0,1
191,2194,252,156,0,1
192,1885,995,249,0,1
193,1398,696,19,0,1
194,921,789,213,0,1
195,1327,115,189,0,1
196,2930,523,72,0,1
197,1553,837,36,0,1
198,1942,408,203,0,1
199,2370,189,241,0,1
200,1940,992,207,0,1
201,1281,592,194,0,1
202,2651,446,240,0,1
203,1119,449,2,0,1
204,718,211,92,0,1
205,2426,965,260,0,1
206,1722,765,248,0,1
207,1776,783,192,0,1
208,576,447,47,0,1
209,2684,513,122,0,1
210,306,10,57,0,1
211,2673,856,281,0,1
212,705,604,5,0,1
213,448,720,168,0,1
214,453,783,97,0,1
215,98,187,170,0,1
216,394,44,29,0,1
217,832,838,143,0,1
218,2114,475,55,0,1
219,2841,54,255,0,1
220,2267,492,251,0,1
221,361,153,46,0,1
222,421,317,113,0,1
223,116,29,248,0,1
224,2889,800,10,0,1
225,1633,641,174,0,1
226,53,521,2,0,1
227,2573,9,130,0,1
228,812,160,5,0,1
229,309,313,167,0,1
230,2285,400,22,0,1
231,2363,530,94,0,1
232,2366,466,265,0,1
233,2279,394,15,0,1
234,1413,757,292,0,1
235,207,758,220,0,1
236,2299,594,82,0,1
237,725,423,84,0,1
238,1568,641,134,0,1
239,407,202,99,0,1
240,564,140,179,0,1
241,1956,44,120,0,1
242,1242,546,38,0,1
243,1919,219,137,0,1
244,1797,15,112,0,1
245,650,286,79,0,1
246,1446,283,87,0,1
247,2904,990,140,0,1
248,2304,454,270,0,1
249,2320,132,21,0,1
250,233,52,17,0,1
251,2841,645,50,0,1
252,387,109,194,0,1
253,2441,444,19,0,1
254,1212,341,280,0,1
255,2792,584,180,0,1
256,2170,60,276,0,1
257,2838,98,134,0,1
258,441,475,75,0,1
259,1980,629,194,0,1
260,265,995,147,0,1
261,53,139,40,0,1
262,2844,366,197,0,1
263,652,150,25,0,1
264,799,875,64,0,1
265,2558,229,247,0,1
266,484,96,272,0,1
267,1447,990,214,0,1
268,2821,104,98,0,1
269,125,606,192,0,1
270,752,103,198,0,1
271,1319,553,217,0,1
272,2402,765,293,0,1
273,181,281,273,0,1
274,2229,629,109,0,1
275,2519,988,215,0,1
276,2984,469,110,0,1
277,1768,440,204,0,1
278,1464,59,76,0,1
279,2828,762,300,0,1
280,1129,231,270,0,1
281,1861,374,161,0,1
282,845,815,250,0,1
283,2792,411,2,0,1
284,2505,741,83,0,1
285,954,759,256,0,1
286,2414,782,90,0,1
287,1508,553,238,0,1
288,961,514,16,0,1
289,1413,755,232,0,1
290,229,85,183,0,1
291,1257,893,147,0,1
292,26,475,230,0,1
293,1867,774,71,0,1
294,1535,628,213,0,1
295,2651,779,183,0,1
296,2300,268,31,0,1
297,606,831,119,0,1
298,185,195,252,0,1
299,2711,602,197,0,1
300,2891,202,213,0,1
301,1209,598,225,0,1
302,2415,940,282,0,1
303,303,293,156,0,1
304,968,470,254,0,1
305,1944,158,4,0,1
306,777,69,229,0,1
307,645,390,225,0,1
308,2239,821,258,0,1
309,1685,916,65,0,1
310,1589,716,17,0,1
311,1357,874,123,0,1
312,1068,331,42,0,1
313,627,602,102,0,1
314,1883,304,7,0,1
315,174,992,51,0,1
316,2773,927,206,0,1
317,2901,80,129,0,1
318,1885,96,106,0,1
319,2607,166,185,0,1
320,1369,26,141,0,1
321,988,585,166,0,1
322,460,988,75,0,1
323,2749,953,232,0,1
324,2378,885,23,0,1
325,2686,764,292,0,1
326,2183,836,106,0,1
327,1583,971,71,0,1
328,395,842,243,0,1
329,1728,524,69,0,1
330,2857,194,211,0,1
331,1553,472,1,0,1
332,2599,386,176,0,1
333,671,328,178,0,1
334,368,107,176,0,1
335,396,326,5,0,1
336,2265,918,11,0,1
337,1939,84,78,0,1
338,2466,971,293,0,1
339,379,408,20,0,1
340,2252,803,262,0,1
341,2707,551,242,0,1
342,2724,638,12,0,1
343,289,246,44,0,1
344,1106,863,65,0,1
345,2872,436,53,0,1
346,536,620,72,0,1
347,2143,262,20,0,1
348,507,683,87,0,1
349,1257,821,31,0,1
350,2626,708,161,0,1
351,1482,958,144,0,1
352,1833,766,69,0,1
353,2906,463,185,0,1
354,2569,229,223,0,1
355,311,92,21,0,1
356,2030,308,82,0,1
357,1680,499,138,0,1
358,62,307,181,0,1
359,2204,273,118,0,1
360,136,473,159,0,1
361,184,945,126,0,1
362,255,640,159,0,1
363,225,734,249,0,1
364,156,858,163,0,1
365,2761,401,247,0,1
366,865,587,212,0,1
367,1017,734,36,0,1
368,69,745,292,0,1
369,2447,390,102,0,1
370,809,668,300,0,1
371,1927,553,115,0,1
372,2144,914,94,0,1
373,1897,610,70,0,1
374,764,400,175,0,1
375,2206,997,275,0,1
376,1927,916,265,0,1
377,1477,349,172,0,1
378,2224,961,297,0,1
379,70,465,178,0,1
380,315,520,123,0,1
381,258,264,73,0,1
382,957,758,81,0,1
383,200,51,138,0,1
384,2338,72,136,0,1
385,2461,197,145,0,1
386,2423,858,77,0,1
387,1662,21,232,0,1
388,70,117,10,0,1
389,2382,932,240,0,1
390,2907,543,120,0,1
391,2731,903,27,0,1
392,484,517,210,0,1
393,1012,246,44,0,1
394,2287,665,201,0,1
395,2898,793,295,0,1
396,1076,377,167,0,1
397,2571,614,179,0,1
398,1387,842,143,0,1
399,2407,658,237,0,1
400,2108,436,188,0,1
401,64,352,123,0,1
402,1242,710,24,0,1
403,1469,433,83,0,1
404,2737,448,285,0,1
405,2107,561,132,0,1
406,1737,148,245,0,1
407,2791,545,162,0,1
408,2367,787,161,0,1
409,549,523,122,0,1
410,1149,11,182,0,1
411,2824,661,111,0,1
412,893,702,1,0,1
413,2338,148,191,0,1
414,589,19,107,0,1
415,2688,287,177,0,1
416,1219,893,200,0,1
417,355,81,45,0,1
418,2915,253,51,0,1
419,2517,66,296,0,1
420,1694,823,101,0,1
421,2855,375,90,0,1
422,333,916,24,0,1
423,2431,107,224,0,1
424,1264,679,38,0,1
425,251,863,88,0,1
426,379,16,91,0,1
427,2732,607,52,0,1
428,503,205,295,0,1
429,20,223,102,0,1
430,2419,183,183,0,1
431,322,619,215,0,1
432,2812,948,53,0,1
433,1164,321,67,0,1
434,1056,823,282,0,1
435,2598,538,151,0,1
436,388,575,26,0,1
437,1930,712,192,0,1
438,174,298,200,0,1
439,777,183,26,0,1
440,15,52,120,0,1
441,926,246,229,0,1
442,226,849,121,0,1
443,161,972,4,0,1
444,1291,855,217,0,1
445,18,877,78,0,1
446,448,688,160,0,1
447,302,787,128,0,1
448,1177,333,189,0,1
449,667,219,37,0,1
450,2977,203,158,0,1
451,2177,565,299,0,1
452,2094,504,246,0,1
453,2532,403,63,0,1
454,153,995,187,0,1
455,1651,332,258,0,1
456,1526,809,161,0,1
457,1625,471,234,0,1
458,392,872,12,0,1
459,1078,779,181,0,1
460,1150,858,263,0,1
461,855,634,109,0,1
462,2095,839,104,0,1
463,314,628,198,0,1
464,2780,115,276,0,1
465,2214,354,38,0,1
466,1424,853,5,0,1
467,1100,596,173,0,1
468,498,351,209,0,1
469,2414,829,111,0,1
470,378,320,34,0,1
471,587,543,99,0,1
472,2640,692,148,0,1
473,2555,552,161,0,1
474,1313,440,225,0,1
475,2513,356,238,0,1
476,2461,91,187,0,1
477,2141,441,130,0,1
478,818,295,285,0,1
479,2137,880,225,0,1
480,2278,87,49,0,1
481,1475,965,171,0,1
482,576,784,117,0,1
483,2584,158,9,0,1
484,764,692,237,0,1
485,2064,520,45,0,1
486,1758,660,62,0,1
487,2737,895,94,0,1
488,573,316,197,0,1
489,2911,247,100,0,1
490,920,522,239,0,1
491,1733,185,57,0,1
492,428,723,126,0,1
493,1529,47,182,0,1
494,2120,298,86,0,1
495,2392,186,184,0,1
496,99,256,170,0,1
497,2779,825,79,0,1
498,1363,707,211,0,1
499,2026,116,243,0,1
500,1871,909,20,0,1
501,2537,185,175,0,1
502,1310,430,177,0,1
503,854,397,251,0,1
504,770,993,8,0,1
505,1243,386,244,0,1
506,1989,886,155,0,1
507,997,62,32,0,1
508,647,617,14,0,1
509,52,535,290,0,1
510,353,276,234,0,1
511,16,551,141,0,1
512,2521,915,0,0,1
513,2588,979,164,0,1
514,993,588,248,0,1
515,260,47,31,0,1
516,2256,943,159,0,1
517,342,724,188,0,1
518,364,288,254,0,1
519,1571,359,8,0,1
520,2876,269,91,0,1
521,2234,229,96,0,1
522,2155,16,248,0,1
523,1492,832,54,0,1
524,927,925,39,0,1
525,1441,673,104,0,1
526,941,502,57,0,1
527,1266,721,46,0,1
528,1900,882,262,0,1
529,1119,459,183,0,1
530,247,951,154,0,1
531,1604,328,66,0,1
532,2162,531,66,0,1
533,850,617,33,0,1
534,303,381,35,0,1
535,592,429,83,0,1
536,953,760,124,0,1
537,577,923,64,0,1
538,2754,853,223,0,1
539,1811,750,79,0,1
540,2070,609,61,0,1
541,1801,227,69,0,1
542,466,441,264,0,1
543,2608,322,286,0,1
544,1726,399,267,0,1
545,2731,756,2,0,1
546,2807,763,54,0,1
547,106,123,267,0,1
548,1547,664,64,0,1
549,213,842,281,0,1
550,70,549,29,0,1
551,2435,534,241,0,1
552,2458,806,3,0,1
553,1668,349,142,0,1
554,2766,305,137,0,1
555,1393,512,94,0,1
556,2205,706,274,0,1
557,1457,679,190,0,1
558,1299,242,65,0,1
559,2200,495,143,0,1
560,354,882,9,0,1
561,245,378,284,0,1
562,1388,169,245,0,1
563,558,207,275,0,1
564,147,246,228,0,1
565,110,965,59,0,1
566,617,124,143,0,1
567,1723,228,101,0,1
568,2321,241,188,0,1
569,1904,597,169,0,1
570,64,333,179,0,1
571,1219,931,197,0,1
572,865,389,184,0,1
573,1900,78,8,0,1
574,1035,443,15,0,1
575,2464,361,212,0,1
576,870,302,93,0,1
577,2152,534,127,0,1
578,1339,9,1,0,1
579,1812,842,216,0,1
580,2422,16,64,0,1
581,1746,375,18,0,1
582,1966,856,69,0,1
583,1933,533,73,0,1
584,2724,32,236,0,1
585,2267,955,167,0,1
586,1467,137,295,0,1
587,574,490,205,0,1
588,2342,231,190,0,1
589,231,181,224,0,1
590,1503,874,46,0,1
591,2818,769,136,0,1
592,1894,49,153,0,1
593,603,515,35,0,1
594,2716,614,66,0,1
595,964,237,79,0,1
596,1809,717,47,0,1
597,505,878,45,0,1
598,2033,145,151,0,1
599,1562,820,143,0,1
600,804,116,21,0,1
601,2227,804,175,0,1
602,2738,369,106,0,1
603,1237,307,94,0,1
604,1865,251,68,0,1
605,974,750,251,0,1
606,2835,68,289,0,1
607,2806,277,188,0,1
608,597,466,46,0,1
609,2147,703,136,0,1
610,704,352,51,0,1
611,507,591,70,0,1
612,1837,696,125,0,1
613,114,87,59,0,1
614,1079,979,256,0,1
615,2202,85,148,0,1
616,2812,534,266,0,1
617,637,721,224,0,1
618,2590,877,261,0,1
619,1235,364,254,0,1
620,1758,626,45,0,1
621,2499,485,167,0,1
622,2563,941,122,0,1
623,952,247,232,0,1
624,1939,27,139,0,1
625,800,141,277,0,1
626,51,994,258,0,1
627,1730,869,107,0,1
628,1879,478,271,0,1
629,2330,847,145,0,1
630,2250,678,177,0,1
631,359,743,19,0,1
632,1317,145,288,0,1
633,2901,255,21,0,1
634,2397,934,39,0,1
635,1581,303,47,0,1
636,478,163,257,0,1
637,2461,602,32,0,1
638,2633,63,214,0,1
639,1045,139,105,0,1
640,1681,839,208,0,1
641,2115,461,112,0,1
642,1742,306,220,0,1
643,1232,825,141,0,1
644,2611,244,166,0,1
645,494,755,32,0,1
646,2610,738,284,0,1
647,880,862,196,0,1
648,532,24,110,0,1
649,1229,288,96,0,1
650,2657,652,49,0,1
651,295,48,107,0,1
652,496,820,131,0,1
653,2882,501,296,0,1
654,1897,771,207,0,1
655,89,595,113,0,1
656,1458,499,198,0,1
657,447,86,4,0,1
658,2511,449,288,0,1
659,1160,817,47,0,1
660,1647,410,183,0,1
661,618,475,214,0,1
662,371,797,275,0,1
663,796,955,295,0,1
664,2043,691,159,0,1
665,564,94,88,0,1
666,681,425,290,0,1
667,26,702,237,0,1
668,2775,880,232,0,1
669,2995,167,162,0,1
670,1478,272,45,0,1
671,871,292,198,0,1
672,2352,251,28,0,1
673,2483,290,41,0,1
674,2595,561,280,0,1
675,2162,962,87,0,1
676,914,383,182,0,1
677,443,544,141,0,1
678,541,604,256,0,1
679,1043,389,286,0,1
680,580,168,229,0,1
681,1059,736,203,0,1
682,1430,830,164,0,1
683,1482,270,33,0,1
684,101,788,157,0,1
685,2465,509,94,0,1
686,2346,957,281,0,1
687,1417,623,52,0,1
688,1274,873,295,0,1
689,319,222,272,0,1
690,1775,737,186,0,1
691,1288,893,195,0,1
692,221,465,206,0,1
693,2498,12,102,0,1
694,2855,505,8,0,1
695,2624,261,222,0,1
696,2379,589,207,0,1
697,2171,348,110,0,1
698,2903,480,102,0,1
699,1694,379,145,0,1
700,1986,529,251,0,1
701,622,552,12,0,1
702,1474,132,33,0,1
703,2484,136,152,0,1
704,2215,47,164,0,1
705,2088,97,77,0,1
706,121,515,229,0,1
707,1916,353,139,0,1
708,557,430,1,0,1
709,1422,409,201,0,1
710,380,353,144,0,1
711,150,907,297,0,1
712,2409,841,267,0,1
713,2910,475,78,0,1
714,2817,37,23,0,1
715,1031,93,4,0,1
716,2623,667,71,0,1
717,827,432,13,0,1
718,3,771,136,0,1
719,2709,358,53,0,1
720,2192,536,140,0,1
721,1141,602,235,0,1
722,1831,136,162,0,1
723,2877,7,28,0,1
724,111,29,145,0,1
725,2639,809,280,0,1
726,2642,866,117,0,1
727,814,503,154,0,1
728,2134,738,112,0,1
729,384,621,282,0,1
730,2938,122,16,0,1
731,2773,879,237,0,1
732,1841,485,26,0,1
733,166,708,171,0,1
734,1236,328,273,0,1
735,986,362,275,0,1
736,2077,296,118,0,1
737,2336,868,195,0,1
738,2390,211,44,0,1
739,1448,558,10,0,1
740,1865,609,237,0,1
741,859,762,127,0,1
742,1498,67,72,0,1
743,386,80,190,0,1
